,Facies,Formation,Well Name,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS
0,3,A1 SH,SHRIMPLIN,2793.0,-7.432153978566433,0.702788710999695,15.066102148007117,12.919018866290438,3.7652223188939047,1,1.0
1,3,A1 SH,SHRIMPLIN,2793.5,47.90647430924614,0.6927357329037533,13.398075169311618,12.145326827385707,3.772616529851564,1,0.9790000000000001
2,3,A1 SH,SHRIMPLIN,2794.0,58.89718064374497,0.710148496033967,9.031214033953688,9.443988622577766,4.50319797173359,1,0.9570000000000001
3,3,A1 SH,SHRIMPLIN,2794.5,25.093715236283117,0.7315096754491119,6.64629684706407,9.32884895545048,5.0454125771593,1,0.9359999999999999
4,3,A1 SH,SHRIMPLIN,2795.0,52.72294086637784,0.7521280369321153,4.468624483349801,9.613826387762572,5.476286769521862,1,0.915
5,3,A1 SH,SHRIMPLIN,2795.5,139.5367106136304,0.5741939281011392,3.9603224955727825,7.429827159762986,5.18191700245741,1,0.894
6,3,A1 SH,SHRIMPLIN,2796.0,146.3872192784346,0.5211121020696765,5.033198280590194,8.595739148938005,4.844509155518574,1,0.872
7,3,A1 SH,SHRIMPLIN,2796.5,143.99250431957842,0.9310734732773718,5.412366470903858,6.125122545271638,4.140220007428638,1,0.83
8,3,A1 SH,SHRIMPLIN,2797.0,205.37780577138295,0.8991645950861897,7.199134026166348,7.1701508890521755,4.520606589696223,1,0.809
9,3,A1 SH,SHRIMPLIN,2797.5,217.8075207053643,0.8848549401724606,8.272229917839109,10.530275475498534,4.645441457955748,1,0.787
10,3,A1 SH,SHRIMPLIN,2798.0,244.6120164702669,0.8793586704761172,10.095243765691801,12.36082540474323,4.895992935711436,1,0.7659999999999999
11,3,A1 SH,SHRIMPLIN,2798.5,191.77206702204467,0.8766533527496708,10.661725787382458,12.691814916585255,4.8010126204418295,1,0.745
12,3,A1 SH,SHRIMPLIN,2799.0,88.80722619677935,0.8198490625099704,7.9773404856244845,12.415287838422508,4.763139427713174,1,0.723
13,3,A1 SH,SHRIMPLIN,2799.5,82.01837494204563,0.8015511501113628,8.80461294400985,13.034992568399414,4.699012025227727,1,0.7020000000000001
14,2,A1 SH,SHRIMPLIN,2800.0,78.50755807675746,0.6738100779734972,9.947366667711538,9.862749606386055,4.581492893325619,1,0.6809999999999999
15,2,A1 SH,SHRIMPLIN,2800.5,79.40065461806424,0.6704571881541033,17.132118684307994,11.40972531847581,4.191528114255322,1,0.638
16,2,A1 SH,SHRIMPLIN,2801.0,81.11624811777304,0.6647829527628504,18.3562530255392,11.952192026946632,3.695310333554578,1,0.617
17,2,A1 SH,SHRIMPLIN,2801.5,90.64740025281185,0.6624201820069656,16.275155162938734,12.184383094044733,3.5405748145111193,1,0.596
18,2,A1 SH,SHRIMPLIN,2802.0,73.1909468127568,0.6548101081595189,15.07811411398645,12.689234987664964,3.4418569953284606,1,0.574
19,2,A1 SH,SHRIMPLIN,2802.5,72.06087653661936,0.6468521951917562,16.388718725153456,12.906521356613307,3.6581474709913504,1,0.5529999999999999
20,2,A1 SH,SHRIMPLIN,2803.0,71.44369871876665,0.6412970822026698,20.668144067992248,13.938023218196449,3.789640660342335,1,0.532
21,2,A1 SH,SHRIMPLIN,2803.5,75.51047662592617,0.6326246815875437,22.227744360914578,13.888377126188514,3.5374399850674907,1,0.511
22,2,A1 SH,SHRIMPLIN,2804.0,71.59903227378965,0.631325231439671,21.76825295546663,14.085878541673598,3.4163375850523594,1,0.489
23,2,A1 SH,SHRIMPLIN,2804.5,77.74885129623986,0.6187627639586256,23.395209635307257,14.472664883979123,3.506635218434046,1,0.46799999999999997
24,2,A1 SH,SHRIMPLIN,2805.0,76.49702118863733,0.598809376423851,18.536412790670543,12.85258223169512,3.680209550084488,1,0.447
25,3,A1 SH,SHRIMPLIN,2805.5,97.55684809723263,0.7857962781460875,10.35817168138584,14.184405226303003,4.4253544137190435,1,0.40399999999999997
26,3,A1 SH,SHRIMPLIN,2806.0,98.91113460744117,0.7835556508933177,11.025099507741352,15.829164700152807,4.256000885293655,1,0.38299999999999995
27,2,A1 SH,SHRIMPLIN,2806.5,74.21887409845426,0.5893074507594669,14.566102160139202,11.59382366448135,3.751025304883101,1,0.36200000000000004
28,2,A1 SH,SHRIMPLIN,2807.0,68.6735016773633,0.5725164211394004,11.826142507837366,11.030710922041079,3.5036061049452623,1,0.34
29,2,A1 SH,SHRIMPLIN,2807.5,87.01229995220055,0.5367644426288652,14.648295356228044,15.798749258416343,3.4276177200318756,1,0.319
30,2,A1 SH,SHRIMPLIN,2808.0,65.85144403041603,0.35149801113160595,4.038735154102669,15.398366591081373,2.906149765077175,1,0.298
31,2,A1 SH,SHRIMPLIN,2808.5,76.91605977583326,0.34980268762949757,3.2341598128661118,13.53551625957628,2.9115465597586394,1,0.27699999999999997
32,2,A1 SH,SHRIMPLIN,2809.0,50.26561113529163,0.45026010514650305,9.903884560598362,4.5861453558851935,3.1563703547949093,1,0.255
33,3,A1 SH,SHRIMPLIN,2809.5,125.44273239973325,0.7790777251494773,9.366301386531052,13.518597755399146,4.1958585036023575,1,0.23399999999999999
34,3,A1 SH,SHRIMPLIN,2810.0,117.42391909569635,0.776839593521739,7.756526250527867,11.723075832980921,4.384250826082728,1,0.213
35,3,A1 SH,SHRIMPLIN,2810.5,129.79335571067477,0.8244990398687071,6.871447135536232,17.428988600416147,3.193041484442282,1,0.17
36,3,A1 SH,SHRIMPLIN,2811.0,74.31498362304677,0.9494254332328103,6.34019022903562,9.999030154980524,4.062796407498877,1,0.149
37,3,A1 SH,SHRIMPLIN,2811.5,73.59554376142339,0.9702307898080407,7.247398562885743,10.319821479520192,4.225277555652347,1,0.128
38,3,A1 SH,SHRIMPLIN,2812.0,86.10649296556517,0.9894317450669488,8.211321679186648,10.79074510737859,4.3712727967270375,1,0.106
39,3,A1 SH,SHRIMPLIN,2812.5,85.42877843603705,1.0325670849738016,7.703081254953613,10.372650654299077,4.599040512235957,1,0.085
40,3,A1 SH,SHRIMPLIN,2813.0,-33.46760766188618,1.127896772979533,-0.9800157067419644,1.497314521167871,4.5387904489225965,1,0.064
41,2,A1 SH,SHRIMPLIN,2813.5,42.460908460162635,0.4731724179820044,11.457145703286848,-2.1805663035814504,3.438996310594452,1,0.043
42,2,A1 SH,SHRIMPLIN,2814.0,48.487301648604245,0.5160579343347468,12.805149389106129,-1.5408281786211226,4.545363549243071,1,0.021
43,8,A1 LM,SHRIMPLIN,2814.5,22.27934659423278,0.6614829637621176,0.4713322238200357,13.125053722939358,5.237265981788496,2,1.0
44,8,A1 LM,SHRIMPLIN,2815.0,3.2518070578918667,0.6423388377320087,-1.0997882908053218,12.441634843641689,5.289413016510954,2,0.981
45,8,A1 LM,SHRIMPLIN,2815.5,9.646748882119859,0.6094536430216568,-0.7827567269895583,11.881459718038299,5.406961131706637,2,0.963
46,8,A1 LM,SHRIMPLIN,2816.0,14.728692648011204,0.6001529521017266,1.7711677148248557,11.446771469467386,5.420115387175904,2,0.9440000000000001
47,6,A1 LM,SHRIMPLIN,2816.5,65.86403757673366,0.6992427994919338,14.374039352412627,12.760509580429558,4.042515223012078,2,0.9259999999999999
48,6,A1 LM,SHRIMPLIN,2817.0,68.36610370984906,0.6803279642522939,17.481521203388205,14.901805543324436,3.9887046886541886,2,0.907
49,6,A1 LM,SHRIMPLIN,2817.5,74.67949424967787,0.5702386216717691,0.5472177656142474,18.096866757916253,2.8038601364311373,2,0.889
50,6,A1 LM,SHRIMPLIN,2818.0,30.883111604190063,0.6167655998506534,0.9119311457212511,5.150618392163702,3.640988081181747,2,0.87
51,6,A1 LM,SHRIMPLIN,2818.5,-20.432494586676214,0.6628950368776673,3.669097941536397,-0.77142697006947,5.044001783844751,2,0.852
52,6,A1 LM,SHRIMPLIN,2819.0,75.95915575345214,0.12768190725350187,5.446962189989408,27.181324549173503,2.845928349904871,2,0.833
53,6,A1 LM,SHRIMPLIN,2819.5,29.279055204846244,0.08463888211927645,13.272923095279893,25.23353525266177,3.114479274915869,2,0.7959999999999999
54,6,A1 LM,SHRIMPLIN,2820.0,5.288133524485318,0.01809899900271228,11.620035275431079,26.069912283675436,3.090454321768287,2,0.778
55,6,A1 LM,SHRIMPLIN,2820.5,2.5856051826078286,-0.04171613960895093,7.193838997984919,24.552986274424068,3.0654325261078257,2,0.759
56,6,A1 LM,SHRIMPLIN,2821.0,32.45158130786961,0.05606678246522501,3.33677774970574,23.97355793200641,3.039278738198819,2,0.741
57,6,A1 LM,SHRIMPLIN,2821.5,69.62042666726366,0.10788762342211256,3.1087752083186246,23.010218342530173,2.982883898217115,2,0.722
58,6,A1 LM,SHRIMPLIN,2822.0,77.24665384497877,0.21121094893784392,4.309046740845903,22.596167280582968,3.1376204863379376,2,0.7040000000000001
59,6,A1 LM,SHRIMPLIN,2822.5,78.5429916470776,0.30734590615095503,1.4030952169499944,20.635333872116334,3.22306856789749,2,0.685
60,7,A1 LM,SHRIMPLIN,2823.0,67.94143072680994,0.6184563116524301,11.350274647883275,13.012561245971604,3.4631502392988747,2,0.667
61,7,A1 LM,SHRIMPLIN,2823.5,55.22767493955892,0.6795158106023014,8.257932620741881,7.056474344476536,4.0042259606792365,2,0.648
62,4,A1 LM,SHRIMPLIN,2824.0,102.53185698677564,0.6430165099038185,6.6790991933244666,19.498716431867564,3.146569638476632,2,0.63
63,4,A1 LM,SHRIMPLIN,2824.5,46.14255499590126,0.6688679196898035,4.779474885309868,16.90548324172768,3.2140447991144474,2,0.611
